frame_index,x_px,y_px
0,163.5,126.5
1,169.5,122.5
2,170.5,117.5
3,175.5,111.5
4,181.5,106.5
5,183.5,101.5
6,188.5,95.5
7,193.5,90.5
8,197.5,83.5
9,201.5,80.5
10,205.5,78.5
11,208.5,74.5
12,213.5,69.5
13,217.5,65.5
14,222.5,61.5
15,226.5,60.5
16,231.5,53.5
17,236.5,49.5
18,237.5,47.5
19,243.5,43.5
20,246.5,42.5
21,249.5,39.5
22,254.5,35.5
23,261.5,33.5
24,263.5,30.5
25,269.5,26.5
26,273.5,27.5
27,276.5,23.5
28,281.5,21.5
29,284.5,19.5
30,287.5,18.5
31,291.5,17.5
32,295.5,16.5
33,301.5,14.5
34,304.5,11.5
35,309.5,11.5
36,312.5,11.5
37,316.5,11.5
38,319.5,11.5
39,323.5,9.5
40,327.5,9.5
41,332.5,9.5
42,335.5,9.5
43,341.5,9.5
44,344.5,10.5
45,348.5,11.5
46,352.5,12.5
47,357.5,13.5
48,359.5,12.5
49,365.5,14.5
50,368.5,15.5
51,374.5,18.5
52,376.5,18.5
53,380.5,21.5
54,386.5,20.5
55,389.5,24.5
56,392.5,26.5
57,396.5,25.5
58,400.5,28.5
59,403.5,31.5
60,408.5,35.5
61,411.5,38.5
62,415.5,38.5
63,419.5,41.5
64,424.5,46.5
65,428.5,49.5
66,433.5,51.5
67,433.5,56.5
68,439.5,59.5
69,444.5,63.5
70,447.5,67.5
71,453.5,71.5
72,454.5,75.5
73,460.5,79.5
74,462.5,84.5
75,468.5,87.5
76,471.5,92.5
77,475.5,97.5
78,479.5,103.5
79,482.5,109.5
80,486.5,115.5
81,490.5,118.5
82,494.5,124.5
83,498.5,129.5
84,501.5,135.5
85,506.5,143.5
86,508.5,147.5
87,514.5,154.5
88,516.5,161.5
89,521.5,168.5
90,524.5,174.5
91,524.5,180.5
92,533.5,186.5
93,537.5,193.5
94,540.5,202.5
95,542.5,207.5
96,548.5,215.5
97,551.5,222.5
98,556.5,230.5
99,559.5,236.5
100,563.5,245.5
101,567.5,253.5
102,569.5,262.5
103,574.5,269.5
104,577.5,278.5
105,582.5,285.5
106,585.5,296.5
107,588.5,305.5
108,593.5,313.5
109,597.5,323.5
110,599.5,332.5
111,603.5,341.5
112,608.5,351.5
113,611.5,361.5
114,616.5,369.5
115,619.5,381.5
116,622.5,389.5
117,626.5,400.5
118,629.5,409.5
119,633.5,420.5
120,638.5,429.5
121,641.5,441.5
122,642.5,452.5
123,647.5,463.5
124,652.5,473.5
125,655.5,483.5
126,659.5,495.5
127,664.5,507.5
128,667.5,518.5
129,672.5,530.5
130,674.5,541.5
131,678.5,553.5
132,681.5,565.5
133,684.5,577.5
134,689.5,589.5
135,692.5,601.5
136,694.5,614.5
137,699.5,629.5
138,702.5,639.5
139,706.5,652.5
140,710.5,665.5
141,714.5,678.5
142,718.5,691.5
143,723.5,705.5
